,,,,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AfterSplit,GenAugSpoofOnly,0.05,24.0,3.4583333333333335,0.883627241233132,2.0,2.75,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.010416666666666666,0.051031036307982884,0.0,0.0,0.0,0.0,0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.008333333333333333,0.0408248290463863,0.0,0.0,0.0,0.0,0.2,24.0,0.9947916666666666,0.02551551815399144,0.875,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly,0.1,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,7.958333333333333,0.2041241452319315,7.0,8.0,8.0,8.0,8.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.0026041666666666665,0.012757759076995721,0.0,0.0,0.0,0.0,0.0625,24.0,0.004629629629629629,0.022680460581325723,0.0,0.0,0.0,0.0,0.1111111111111111,24.0,0.9973958333333334,0.01275775907699572,0.9375,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,7.958333333333333,0.2041241452319315,7.0,8.0,8.0,8.0,8.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.0026041666666666665,0.012757759076995721,0.0,0.0,0.0,0.0,0.0625,24.0,0.004629629629629629,0.022680460581325723,0.0,0.0,0.0,0.0,0.1111111111111111,24.0,0.9973958333333334,0.01275775907699572,0.9375,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.05,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.1,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,GenAugSpoofOnly_KF,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.05,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.1,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,AfterSplit,TradAugSpoofOnly,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.05,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.1,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.05,24.0,3.4583333333333335,0.883627241233132,2.0,2.75,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.041666666666666664,0.2041241452319315,0.0,0.0,0.0,0.0,1.0,24.0,0.010416666666666666,0.05103103630798288,0.0,0.0,0.0,0.0,0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.02551551815399144,0.0,0.0,0.0,0.0,0.125,24.0,0.008333333333333333,0.040824829046386304,0.0,0.0,0.0,0.0,0.2,24.0,0.9947916666666666,0.02551551815399144,0.875,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.1,24.0,3.4583333333333335,0.883627241233132,2.0,2.75,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.041666666666666664,0.2041241452319315,0.0,0.0,0.0,0.0,1.0,24.0,0.010416666666666666,0.05103103630798288,0.0,0.0,0.0,0.0,0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.02551551815399144,0.0,0.0,0.0,0.0,0.125,24.0,0.008333333333333333,0.040824829046386304,0.0,0.0,0.0,0.0,0.2,24.0,0.9947916666666666,0.02551551815399144,0.875,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,GenAugSpoofOnly_KF,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.05,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.1,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.2,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,7.958333333333333,0.2041241452319315,7.0,8.0,8.0,8.0,8.0,24.0,0.041666666666666664,0.20412414523193154,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.005208333333333333,0.025515518153991442,0.0,0.0,0.0,0.0,0.125,24.0,0.0026041666666666665,0.012757759076995721,0.0,0.0,0.0,0.0,0.0625,24.0,0.004629629629629629,0.022680460581325723,0.0,0.0,0.0,0.0,0.1111111111111111,24.0,0.9973958333333334,0.01275775907699572,0.9375,1.0,1.0,1.0,1.0
2,BeforeSplit,TradAugSpoofOnly,0.3,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,None,Baseline,0,24.0,3.5,0.8846517369293828,2.0,3.5,4.0,4.0,4.0,24.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,12.0,8.75,4.993177163071443,4.0,4.0,8.0,14.0,14.0,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.25,0.621581560508061,0.0,0.0,0.0,0.0,2.0,12.0,0.017857142857142856,0.044398682893432934,0.0,0.0,0.0,0.0,0.14285714285714285,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.008928571428571428,0.022199341446716467,0.0,0.0,0.0,0.0,0.07142857142857142,12.0,0.015972222222222224,0.03932163625081081,0.0,0.0,0.0,0.0,0.12500000000000006,12.0,0.9910714285714285,0.022199341446716456,0.9285714285714286,1.0,1.0,1.0,1.0
